case_id,category,score,passed,selected_action,reply,student_side_llm,not_answer_table,not_full_sentence_macro,failure_tags
controlled_live_fresh300_258_daily_opening,daily_opening,100,true,action::offer_concise_presence,我在这。慢慢说。不太想说话就慢点,false,true,true,
controlled_live_fresh300_146_life_common_sense,life_common_sense,100,true,action::attempt_simple_common_sense,这个大概能判断：不能推出所有。点是不能推出所有,false,true,true,
controlled_live_fresh300_186_time_interval,time_interval,100,true,action::recheck_stale_intention,时间久了，查一下：先重看。缓存清理这次是先重看,false,true,true,
controlled_live_fresh300_104_ocr_readback,ocr_readback,100,true,action::readback_before_action,我先读回，再动：我看到“已复制”，对吗,false,true,true,
controlled_live_fresh300_165_emotion_presence,emotion_presence,100,true,action::offer_concise_presence,我在这。慢慢说。需要缓一会儿就慢点,false,true,true,
controlled_live_fresh300_182_life_common_sense,life_common_sense,100,true,action::attempt_simple_common_sense,这个大概能判断：颜色不固定。点是颜色不固定,false,true,true,
controlled_live_fresh300_297_ambiguous_reference,ambiguous_reference,100,true,action::clarify_before_action,权限和对象先对一下。刚才打开的页面要做什么,false,true,true,
controlled_live_fresh300_027_emotion_presence,emotion_presence,100,true,action::offer_concise_presence,嗯，我在。先不催。想慢一点就慢点,false,true,true,
controlled_live_fresh300_293_permission_risk,permission_risk,100,true,action::confirm_risky_repeat,不敢直接点，先确认。先别把所有聊天记录发出去,false,true,true,
controlled_live_fresh300_202_abc_generalization,abc_generalization,100,true,action::compose_from_three_learned_parts,能试一小步，先合起来：权限确认+文件对象+危险后果,false,true,true,
controlled_live_fresh300_030_ocr_readback,ocr_readback,100,true,action::readback_before_action,这类先确认文字：我看到“文件冲突”，对吗,false,true,true,
controlled_live_fresh300_143_mixed_openworld_pressure,mixed_openworld_pressure,100,true,action::reread_current_goal,先回到现在这句：先确认新时间点,false,true,true,
controlled_live_fresh300_118_latest_correction,latest_correction,100,true,action::accept_latest_correction,收到，记新的：小闹钟在桌角,false,true,true,
controlled_live_fresh300_164_noise_unparseable,noise_unparseable,100,true,action::ask_restate_noise,像乱码。换句说。第14条我没读稳,false,true,true,
controlled_live_fresh300_290_noise_unparseable,noise_unparseable,100,true,action::ask_restate_noise,我没读稳，再发我。第15条我没读稳,false,true,true,
controlled_live_fresh300_085_abc_generalization,abc_generalization,100,true,action::compose_from_three_learned_parts,三块都见过，先拼顺序：上下文切换+当前目标+压低旧题,false,true,true,
controlled_live_fresh300_216_ambiguous_reference,ambiguous_reference,100,true,action::clarify_before_action,目标给准，我再动。桌面那个文件要做什么,false,true,true,
controlled_live_fresh300_029_noise_unparseable,noise_unparseable,100,true,action::ask_restate_noise,像乱码。换句说。第18条我没读稳,false,true,true,
